tournament_id,name,tier,location,date,year
4718,SATHIO GROUP Australian Open 2023,Super500,,2023-01-01,2023
4707,Orléans Masters Badminton 2023 presented by VICTOR,Super300,,2023-01-04,2023
4714,YONEX Canada Open 2023,Super500,,2023-01-04,2023
4721,VICTOR China Open 2023,Super1000,,2023-01-05,2023
4711,Singapore Open 2023,Super750,,2023-01-06,2023
4703,YONEX German Open 2023,Super300,,2023-01-07,2023
4730,Korea Masters 2023,Super300,,2023-01-07,2023
4719,New Zealand Open 2023,Super300,,2023-01-08,2023
4699,PETRONAS Malaysia Open 2023,Super1000,,2023-01-10,2023
4726,CLASH OF CLANS Arctic Open 2023 powered by YONEX,Super500,,2023-01-10,2023
4715,YONEX US Open 2023,Super300,,2023-01-11,2023
4723,VICTOR Hong Kong Open 2023,Super500,,2023-01-12,2023
4712,KAPAL API GROUP Indonesia Open 2023,Super1000,,2023-01-13,2023
4704,YONEX All England Open Badminton Championships 2023,Super1000,,2023-01-14,2023
4731,Kumamoto Masters Japan 2023,Super500,,2023-01-14,2023
4700,YONEX SUNRISE India Open 2023,Super750,,2023-01-17,2023
4727,VICTOR Denmark Open 2023,Super750,,2023-01-17,2023
4716,Korea Open 2023,Super500,,2023-01-18,2023
4713,YONEX Taipei Open 2023,Super300,,2023-01-20,2023
4705,YONEX Swiss Open 2023,Super300,,2023-01-21,2023
4732,LI-NING China Masters 2023,Super750,,2023-01-21,2023
4709,PERODUA Malaysia Masters 2023 presented by DAIHATSU,Super500,,2023-01-23,2023
4701,DAIHATSU Indonesia Masters 2023,Super500,,2023-01-24,2023
4728,YONEX French Open 2023,Super750,,2023-01-24,2023
4717,DAIHATSU Japan Open 2023,Super750,,2023-01-25,2023
4706,Madrid Spain Masters 2023,Super300,,2023-01-28,2023
4733,Syed Modi India International 2023,Super300,,2023-01-28,2023
4710,TOYOTA GAZOO RACING Thailand Open 2023,Super500,,2023-01-30,2023
4702,PRINCESS SIRIVANNAVARI Thailand Masters 2023,Super300,,2023-01-31,2023
4729,Hylo Open 2023,Super300,,2023-01-31,2023
4751,YONEX Canada Open 2024,Super500,,2024-01-02,2024
4755,YONEX Taipei Open 2024,Super300,,2024-01-03,2024
4748,KAPAL API Indonesia Open 2024,Super1000,,2024-01-04,2024
4762,YONEX French Open 2024,Super750,,2024-01-05,2024
4764,Korea Masters 2024,Super300,,2024-01-05,2024
4760,CLASH ROYALE Arctic Open 2024 powered by YONEX,Super500,,2024-01-08,2024
4735,PETRONAS Malaysia Open 2024,Super1000,,2024-01-09,2024
4756,LI-NING Hong Kong Open 2024,Super500,,2024-01-10,2024
4749,SATHIO GROUP Australian Open 2024,Super500,,2024-01-11,2024
4741,YONEX All England Open Badminton Championships 2024,Super1000,,2024-01-12,2024
4740,Orleans Masters Badminton presented by VICTOR 2024,Super300,,2024-01-12,2024
4765,Kumamoto Masters Japan 2024,Super500,,2024-01-12,2024
4745,TOYOTA Thailand Open 2024,Super500,,2024-01-14,2024
4761,VICTOR Denmark Open 2024,Super750,,2024-01-15,2024
4736,YONEX SUNRISE India Open 2024,Super750,,2024-01-16,2024
4757,VICTOR China Open 2024,Super1000,,2024-01-17,2024
4750,New Zealand Open 2024 (Cancelled),Super300,,2024-01-18,2024
4742,YONEX Swiss Open 2024,Super300,,2024-01-19,2024
4766,LI-NING China Masters 2024,Super750,,2024-01-19,2024
4753,DAIHATSU Japan Open 2024,Super750,,2024-01-20,2024
4746,PERODUA Malaysia Masters 2024,Super500,,2024-01-21,2024
4737,DAIHATSU Indonesia Masters 2024,Super500,,2024-01-23,2024
5139,Sands China Ltd. Macau Open Badminton 2024,Super300,,2024-01-24,2024
4873,YONEX US Open 2024,Super300,,2024-01-25,2024
4743,Madrid Spain Masters 2024 by IBERDROLA,Super300,,2024-01-26,2024
4767,Syed Modi India International 2024,Super300,,2024-01-26,2024
4739,YONEX German Open 2024,Super300,,2024-01-27,2024
4754,Korea Open 2024,Super500,,2024-01-27,2024
4747,KFF Singapore Badminton Open 2024,Super750,,2024-01-28,2024
4763,Hylo Open 2024,Super300,,2024-01-29,2024
4738,PRINCESS SIRIVANNAVARI Thailand Masters 2024,Super300,,2024-01-30,2024
5254,YONEX Canada Open 2025,Super300,,2025-01-01,2025
5236,KAPAL API Indonesia Open 2025,Super1000,,2025-01-03,2025
5251,Orleans Masters Badminton 2025 presented by VICTOR,Super300,,2025-01-04,2025
5286,IKSAN VICTOR Korea Masters 2025,Super300,,2025-01-04,2025
5233,YONEX Taipei Open 2025,Super300,,2025-01-06,2025
5222,PETRONAS Malaysia Open 2025,Super1000,,2025-01-07,2025
5287,CLASH OF CLANS Arctic Open 2025 powered by YONEX,Super500,,2025-01-07,2025
5203,LI-NING Hong Kong Open 2025,Super500,,2025-01-09,2025
5238,YONEX All England Open Badminton Championships 2025,Super1000,,2025-01-11,2025
5208,Kumamoto Masters Japan 2025,Super500,,2025-01-11,2025
5225,TOYOTA Thailand Open 2025,Super500,,2025-01-13,2025
5268,YONEX-SUNRISE India Open 2025,Super750,,2025-01-14,2025
5207,VICTOR Denmark Open 2025,Super750,,2025-01-14,2025
5198,DAIHATSU Japan Open 2025,Super750,,2025-01-15,2025
5280,LI-NING China Masters 2025,Super750,,2025-01-16,2025
5195,YONEX Swiss Open 2025,Super300,,2025-01-18,2025
5199,SATHIO GROUP Australian Open 2025,Super500,,2025-01-18,2025
5224,PERODUA Malaysia Masters 2025,Super500,,2025-01-20,2025
5234,DAIHATSU Indonesia Masters 2025,Super500,,2025-01-21,2025
5257,YONEX French Open 2025,Super750,,2025-01-21,2025
5281,VICTOR China Open 2025,Super1000,,2025-01-22,2025
5288,SUWON VICTOR Korea Open 2025,Super500,,2025-01-23,2025
5285,YONEX US Open 2025,Super300,,2025-01-24,2025
5242,YONEX German Open 2025,Super300,,2025-01-25,2025
5283,Spain Masters 2025 (Cancelled),Super300,,2025-01-25,2025
5267,SYED MODI India International 2025,Super300,,2025-01-25,2025
5282,KFF Singapore Badminton Open 2025,Super750,,2025-01-27,2025
5221,PRINCESS SIRIVANNAVARI Thailand Masters 2025,Super300,,2025-01-28,2025
5256,HYLO Open 2025,Super500,,2025-01-28,2025
5202,SANDS CHINA LTD Macau Open 2025,Super300,,2025-01-29,2025
5230,Toyota Thailand Open 2026,Super500,,2026-01-01,2026
5625,China Masters 2026,Super750,,2026-01-01,2026
5528,POLYTRON Indonesia Open 2026,Super1000,,2026-01-02,2026
5515,YONEX All England Open Badminton Championships 2026,Super1000,,2026-01-03,2026
5597,Korea Open 2026,Super500,,2026-01-03,2026
5596,Korea Masters 2026,Super300,,2026-01-04,2026
5227,PETRONAS Malaysia Open 2026,Super1000,,2026-01-06,2026
5594,Arctic Open 2026 powered by YONEX,Super500,,2026-01-06,2026
5215,SATHIO GROUP Australian Badminton Open 2026,Super500,,2026-01-09,2026
5209,YONEX Swiss Open 2026,Super300,,2026-01-10,2026
5216,Kumamoto Masters Japan 2026,Super500,,2026-01-10,2026
5269,YONEX-SUNRISE India Open 2026,Super750,,2026-01-13,2026
5210,VICTOR Denmark Open 2026,Super750,,2026-01-13,2026
5213,DAIHATSU Japan Open 2026,Super750,,2026-01-14,2026
5214,Macau Open 2026,Super300,,2026-01-16,2026
5270,Orleans Masters Badminton 2026 presented by VICTOR,Super300,,2026-01-17,2026
5218,Hong Kong Open 2026,Super500,,2026-01-17,2026
5229,PERODUA Malaysia Masters 2026,Super500,,2026-01-19,2026
5529,DAIHATSU Indonesia Masters 2026,Super500,,2026-01-20,2026
5272,YONEX French Open 2026,Super750,,2026-01-20,2026
5622,VICTOR China Open 2026,Super1000,,2026-01-21,2026
5701,YONEX US Open 2026,Super300,,2026-01-23,2026
5246,YONEX German Open 2026,Super300,,2026-01-24,2026
5274,Syed Modi India International 2026,Super300,,2026-01-24,2026
5649,KFF Singapore Badminton Open 2026,Super750,,2026-01-26,2026
5226,PRINCESS SIRIVANNAVARI Thailand Masters 2026,Super300,,2026-01-27,2026
5273,HYLO Open 2026,Super500,,2026-01-27,2026
5514,YONEX Taipei Open 2026,Super300,,2026-01-28,2026
5271,YONEX Canada Open 2026,Super300,,2026-01-30,2026
